State,Deaths from pneumonia and influenza,All Deaths,Median Household Income,Population,Median Age,>25 with No Degree,People in Poverty,Death Rate,Date,Average Temperature,AvgVaxRate,% People in Poverty,% People with no Degree,rank
West Virginia,17821,209753,44061,1836843,42.2,10439,317089,0.970197235,201443.1951,52.88211382,49.22222222,17.26271652,0.568312044,1
Kentucky,36669,428047,46535,4424376,38.6,32245,783586,0.82879484,201443.1951,56.49430894,46.02222222,17.71065569,0.728803339,2
Oklahoma,30323,365516,49767,3896251,36.3,25161,612714,0.778260949,201443.1951,60.45528455,46.91111111,15.72573225,0.645774618,3
Arkansas,23007,292166,43813,2977944,37.9,23003,524211,0.772580008,201443.1951,61.11788618,46.67777778,17.60311812,0.772445687,4
South Dakota,6590,71523,54126,855444,36.8,3592,114885,0.770360187,201443.1951,45.26097561,54.77777778,13.429868,0.419898906,5
Tennessee,49642,615865,48708,6597381,38.6,49807,1072360,0.752450101,201443.1951,58.6504065,46.91111111,16.2543288,0.754951093,6
Rhode Island,7936,92574,61043,1056138,39.9,10845,136126,0.751416955,201443.1951,51.12845528,55.33333333,12.88903533,1.026854445,7
Hawaii,10427,100747,74923,1421658,38.8,10445,143148,0.733439407,,NaN,50.51111111,10.06908835,0.734705534,8
Maine,9513,130372,53024,1330158,44.3,5211,166904,0.715178197,201443.1951,42.16666667,47.6,12.54768231,0.391757972,9
Vermont,4378,53064,57808,624636,42.8,2523,68144,0.700888197,201443.1951,43.42113821,48.04444444,10.90939363,0.40391524,10
Mississippi,20581,291312,42009,2986220,36.9,26200,620007,0.689199054,201443.1951,64.32520325,37.06666667,20.76226802,0.877363356,11
Iowa,21426,276239,56570,3118102,38.1,15497,361343,0.687148785,201443.1951,48.20487805,50.62222222,11.58855612,0.49700106,12
North Dakota,5007,58313,61285,745475,35.1,2796,79374,0.671652302,201443.1951,40.76422764,47.91111111,10.64743955,0.375062879,13
Massachusetts,44873,528497,74167,6789319,39.4,65956,727546,0.660935213,201443.1951,49.22357724,53.01111111,10.71603794,0.971467094,14
Indiana,43441,580169,52182,6614418,37.5,39437,933540,0.656762243,201443.1951,52.4398374,42.15555556,14.11371341,0.596227816,15
Ohio,75652,1083417,52407,11609756,39.3,67808,1683890,0.651624375,201443.1951,51.86829268,45.15555556,14.50409466,0.584060509,16
Missouri,38900,554009,51542,6075300,38.4,33469,861679,0.640297598,201443.1951,55.35934959,46.12222222,14.18331605,0.550902836,17
Alabama,30967,481905,46472,4850771,38.7,41118,849699,0.638393361,201443.1951,63.83658537,44.7,17.51678238,0.847659063,18
Nebraska,12090,152271,56675,1893921,36.3,13699,220330,0.6383582,201443.1951,49.24634146,49.98888889,11.63353698,0.723314225,19
North Carolina,63652,806284,50320,10052564,38.4,83671,1579871,0.633191691,201443.1951,59.87642276,49.76666667,15.71609989,0.832334915,20
Kansas,18286,245710,55477,2903820,36.3,17061,361285,0.629722228,201443.1951,55.10081301,45.2,12.44171471,0.587536418,21
South Carolina,30677,433269,48781,4893444,39,37167,790657,0.626899991,201443.1951,63.70162602,45.71111111,16.15747519,0.759526419,22
Pennsylvania,79784,1227571,56951,12790505,40.7,88660,1623537,0.623775215,201443.1951,49.71626016,47.93333333,12.69329866,0.693170442,23
Michigan,59434,884653,52668,9925568,39.6,72640,1510841,0.598796966,201443.1951,45.26422764,42.17777778,15.22170822,0.731847286,24
New Mexico,12308,165063,46718,2084828,37.3,18090,420293,0.590360452,201443.1951,54.71626016,47.31111111,20.1596007,0.867697479,25
New Hampshire,7851,109047,71305,1331848,42.7,5158,104470,0.589481683,201443.1951,44.4504065,48.15555556,7.843988203,0.387281432,26
Connecticut,21009,276938,73781,3594478,40.8,25274,350783,0.58447986,201443.1951,50.41219512,50.37777778,9.758941354,0.703134085,27
Wyoming,3344,44044,60938,583200,37,1346,63398,0.573388203,201443.1951,42.20650407,38.76666667,10.87071331,0.23079561,28
Illinois,72794,996444,61229,12854526,37.7,107965,1698613,0.566290815,201443.1951,52.63252033,41.72222222,13.21412396,0.839898725,29
Montana,5787,89600,50801,1029862,39.8,3264,144198,0.561919947,201443.1951,42.22195122,42.13333333,14.00168178,0.316935667,30
Delaware,5215,79546,63036,943732,39.8,7723,111304,0.552593321,201443.1951,56.70325203,49.7,11.79402627,0.818346734,31
Wisconsin,31709,477514,56759,5763217,39.2,33447,692719,0.550196184,201443.1951,43.74308943,43.1,12.01965847,0.580352952,32
Maryland,32535,440958,78916,5996079,38.5,47934,566966,0.542604592,201443.1951,55.70325203,51.52222222,9.455612576,0.799422423,33
California,205529,2391194,67169,38982847,36.1,691906,5773408,0.527229322,201443.1951,59.29105691,38.54444444,14.81012405,1.774898586,34
Nevada,14919,210681,55434,2887725,37.7,30781,405263,0.516635067,201443.1951,51.11300813,37.23333333,14.03398869,1.065925599,35
Washington,37023,499418,66174,7169967,37.6,55780,859950,0.516362209,201443.1951,47.24146341,47.57777778,11.99377905,0.777967318,36
Minnesota,28014,395644,65699,5490726,37.9,42738,560995,0.510205754,201443.1951,41.56666667,50.57777778,10.21713704,0.778367014,37
Florida,101007,1776191,50883,20278447,41.8,213582,3070972,0.498100274,201443.1951,71.80731707,38.16666667,15.14401966,1.053246336,38
Louisiana,22593,409136,46710,4663461,36.4,38772,887574,0.48446851,201443.1951,67.29105691,43.28888889,19.03251684,0.831399684,39
New Jersey,42558,683349,76475,8960161,39.6,81641,938252,0.474969144,201443.1951,54.03333333,40.71111111,10.47137434,0.911155503,40
Texas,130034,1739960,57051,27419612,34.3,343605,4291384,0.474237199,201443.1951,65.95203252,44.33333333,15.6507831,1.253135894,41
Oregon,18968,325453,56119,4025127,39.2,30325,587248,0.471239789,201443.1951,47.87886179,41.43333333,14.58955208,0.753392377,42
Virginia,39379,606659,68766,8365952,38,69531,906838,0.470705546,201443.1951,56.26178862,50.03333333,10.8396271,0.831118802,43
Arizona,31726,498929,53510,6809946,37.2,65604,1128046,0.465877409,201443.1951,61.23414634,40.7,16.56468348,0.963355657,44
Idaho,7661,121299,50985,1657375,35.9,10678,236000,0.462236971,201443.1951,43.95365854,38.74444444,14.23938457,0.644271815,45
Georgia,43847,730896,52977,10201635,36.4,91517,1679030,0.429803654,201443.1951,64.53821138,41.18888889,16.45844024,0.897081693,46
District of Columbia,2855,45448,77649,672391,33.9,5141,111025,0.424604137,,,36.7,16.51196997,0.764584892,47
Colorado,21154,333505,65458,5436519,36.5,34489,612143,0.389109281,201443.1951,46.2804878,48.26666667,11.25983373,0.634394913,48
New York,74929,934876,62765,19798228,38.4,268719,2908471,0.378463163,201443.1951,46.29837398,46.67777778,14.69056221,1.357288137,49
Utah,11120,157818,65325,2993941,30.5,14327,324856,0.371416805,201443.1951,49.15934959,43.37777778,10.85044762,0.478533144,50
Alaska,2316,39055,76114,738565,33.9,3451,73380,0.313581066,,,39.82222222,9.935482997,0.467257452,51
